route_id,direction_id,direction
12408,1,Outbound
12408,0,Inbound
10263,1,Outbound
10263,0,Inbound
10262,1,Outbound
10262,0,Inbound
10260,1,Outbound
10260,0,Inbound
10258,,Loop
10257,,Loop
10256,1,Outbound
10256,0,Inbound
10255,1,Outbound
10255,0,Inbound
10254,1,Outbound
10254,0,Inbound
10253,1,Outbound
10253,0,Inbound
10252,0,Inbound
10251,1,Outbound
10251,0,Inbound
10250,,Loop
10249,1,Outbound
10249,0,Inbound
10248,,Loop
10247,,Loop
10247,0,Inbound
10245,1,Outbound
10245,0,Inbound
10244,1,Outbound
10244,0,Inbound
10243,1,Outbound
10243,0,Inbound
10242,1,Outbound
10242,0,Inbound
10241,1,Outbound
10241,0,Inbound
10240,,Loop
10239,1,Outbound
10239,0,Inbound
10238,1,Outbound
10238,0,Inbound
