runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100001,c_17988_b_22450_d_31,116043,1,1,t_870831_b_22450_tn_1,2439283,t_870835_b_22450_tn_0,2439628
100002,c_17988_b_22450_d_31,116044,2,1,t_870832_b_22450_tn_1,2439283,t_870834_b_22450_tn_22,2439283
100003,c_17988_b_22450_d_31,13744,3,1,t_870954_b_22450_tn_0,2439629,t_870849_b_22450_tn_0,2439679
100004,c_17988_b_22450_d_31,13776,4,1,t_871022_b_22450_tn_0,2439858,t_871035_b_22450_tn_0,2439858
100005,c_17988_b_22450_d_31,13785,5,1,t_871197_b_22450_tn_0,2439511,t_871145_b_22450_tn_0,2439511
100006,c_17988_b_22450_d_31,13817,6,1,t_870968_b_22450_tn_0,2439858,t_871031_b_22450_tn_0,2439858
100007,c_17988_b_22450_d_31,13849,7,1,t_870920_b_22450_tn_0,2439629,t_870848_b_22450_tn_0,2439679
100008,c_17988_b_22450_d_31,13864,8,1,t_871069_b_22450_tn_0,2439858,t_871075_b_22450_tn_0,2439858
100009,c_17988_b_22450_d_31,13869,9,1,t_871126_b_22450_tn_0,2439511,t_871123_b_22450_tn_0,2439511
100010,c_17988_b_22450_d_31,13921,10,1,t_870868_b_22450_tn_0,2439629,t_870846_b_22450_tn_0,2439679
100011,c_17988_b_22450_d_31,13926,11,1,t_870900_b_22450_tn_0,2439629,t_870847_b_22450_tn_0,2439679
100012,c_17988_b_22450_d_31,13975,12,1,t_871159_b_22450_tn_0,2439283,t_870945_b_22450_tn_0,2439283
100013,c_17988_b_22450_d_31,13976,13,1,t_871170_b_22450_tn_0,2439283,t_871166_b_22450_tn_0,2439283
100014,c_6362_b_6886_d_31,116046,14,1,t_849287_b_6886_tn_1,2439562,t_840130_b_6886_tn_11,2439987
100015,c_6362_b_6886_d_31,116047,15,1,t_849290_b_6886_tn_0,2439562,t_840131_b_6886_tn_11,2439987
100016,c_6362_b_6886_d_31,116048,16,1,t_849285_b_6886_tn_0,2439379,t_840132_b_6886_tn_11,2439987
100017,c_6362_b_6886_d_31,116057,17,1,t_840139_b_6886_tn_1,2439987,t_840141_b_6886_tn_14,2439987
100018,c_6362_b_6886_d_31,116058,18,1,t_875342_b_6886_tn_0,2439567,t_840142_b_6886_tn_17,2439987
100019,c_6362_b_6886_d_31,116206,19,1,t_238448_b_6886_tn_0,2439987,t_238465_b_6886_tn_0,2439987
100020,c_6362_b_6886_d_31,13761,20,1,t_237836_b_6886_tn_0,2439987,t_237870_b_6886_tn_0,2439987
100021,c_6362_b_6886_d_31,13808,21,1,t_238600_b_6886_tn_0,2439987,t_238610_b_6886_tn_0,2439987
100022,c_6362_b_6886_d_31,13818,22,1,t_237936_b_6886_tn_0,2439987,t_237914_b_6886_tn_0,2439987
100023,c_6362_b_6886_d_31,13842,23,1,t_238700_b_6886_tn_0,2439987,t_237905_b_6886_tn_0,2439987
100024,c_6362_b_6886_d_31,13860,24,1,t_238687_b_6886_tn_0,2439714,t_237896_b_6886_tn_0,2439987
100025,c_6362_b_6886_d_31,13912,25,1,t_235227_b_6886_tn_0,2439987,t_235252_b_6886_tn_0,2439987
100026,c_6362_b_6886_d_31,13914,26,1,t_237865_b_6886_tn_0,2439987,t_543500_b_6886_tn_0,2439987
100027,c_6362_b_6886_d_31,13925,27,1,t_237891_b_6886_tn_0,2439498,t_238744_b_6886_tn_0,2439987
100028,c_6362_b_6886_d_31,13944,28,1,t_238859_b_6886_tn_0,2439987,t_238820_b_6886_tn_0,2439987
100029,c_6362_b_6886_d_31,13960,29,1,t_238039_b_6886_tn_0,2439987,t_238009_b_6886_tn_0,2439987
100030,c_6362_b_6886_d_31,13982,30,1,t_235204_b_6886_tn_0,2439643,t_235255_b_6886_tn_0,2439959
