route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
10238,c_6362_b_6886_d_31,t_238480_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238465_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238464_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238463_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238452_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238484_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238485_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238462_b_6886_tn_0,,to Benjamin Crossing & CityBus Center,0,116206,p_226671,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238472_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238487_b_6886_tn_0,,to Benjamin Crossing & CityBus Center,0,13998,p_226671,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238488_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238471_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238449_b_6886_tn_0,,to Benjamin Crossing & CityBus Center,0,116206,p_226671,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238459_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238447_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238470_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238499_b_6886_tn_0,,to Benjamin Crossing & CityBus Center,0,116206,p_226671,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238498_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238469_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238475_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238456_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238455_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238476_b_6886_tn_0,,to Benjamin Crossing & CityBus Center,0,13998,p_226671,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238494_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238474_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238489_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238479_b_6886_tn_0,,to Benjamin Crossing & CityBus Center,0,13998,p_226671,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_543502_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238491_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_543501_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238473_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238468_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238467_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238466_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238461_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238460_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238458_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238457_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238478_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238454_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238453_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238481_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238482_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238483_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238451_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238486_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238450_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238448_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238500_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238497_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238496_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238477_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238495_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238493_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238490_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_31,t_238492_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238523_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238501_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238502_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238503_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238509_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238510_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238514_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238519_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238522_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238525_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238526_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238527_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238529_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238530_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238532_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238533_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238534_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238536_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238537_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238538_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238539_b_6886_tn_0,,to CityBus Center,0,13998,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238542_b_6886_tn_0,,to CityBus Center,0,116206,p_226666,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238540_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238513_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238515_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238516_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238517_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238518_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238520_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238521_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238512_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238524_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238541_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238543_b_6886_tn_0,,to Veterans Memorial Parkway,1,116206,p_226648,,,,,,,,,,
10238,c_6362_b_6886_d_32,t_238528_b_6886_tn_0,,to Veterans Memorial Parkway,1,13998,p_226648,,,,,,,,,,
